file,species
Black-grass_175.png,Loose Silky-bent
Charlock_109.png,Charlock
Charlock_31.png,Charlock
Small-flowered Cranesbill_88.png,Small-flowered Cranesbill
Common Chickweed_143.png,Common Chickweed
Scentless Mayweed_212.png,Scentless Mayweed
Common Chickweed_157.png,Common Chickweed
Scentless Mayweed_206.png,Scentless Mayweed
Charlock_25.png,Charlock
Black-grass_161.png,Black-grass
Charlock_135.png,Charlock
Black-grass_149.png,Black-grass
Maize_62.png,Maize
Sugar beet_22.png,Sugar beet
Shepherds Purse_244.png,Shepherds Purse
Fat Hen_187.png,Fat Hen
Common wheat_186.png,Common wheat
Charlock_19.png,Charlock
Sugar beet_36.png,Sugar beet
Fat Hen_193.png,Fat Hen
Shepherds Purse_250.png,Shepherds Purse
Common wheat_192.png,Common wheat
Maize_76.png,Maize
Charlock_121.png,Charlock
Common wheat_179.png,Common wheat
Common Chickweed_180.png,Common Chickweed
Fat Hen_178.png,Fat Hen
Common Chickweed_194.png,Common Chickweed
Maize_89.png,Maize
Cleavers_27.png,Cleavers
Small-flowered Cranesbill_77.png,Small-flowered Cranesbill
Common wheat_145.png,Common wheat
Fat Hen_144.png,Fat Hen
Common Chickweed_13.png,Common Chickweed
Common wheat_151.png,Common wheat
Fat Hen_150.png,Fat Hen
Small-flowered Cranesbill_63.png,Small-flowered Cranesbill
Cleavers_33.png,Cleavers
Fat Hen_24.png,Fat Hen
Common wheat_24.png,Common wheat
Common wheat_30.png,Common wheat
Loose Silky-bent_29.png,Loose Silky-bent
Fat Hen_30.png,Fat Hen
Maize_133.png,Maize
Fat Hen_18.png,Fat Hen
Cleavers_126.png,Cleavers
Common wheat_18.png,Common wheat
Cleavers_132.png,Cleavers
Loose Silky-bent_15.png,Loose Silky-bent
Maize_127.png,Maize
Small-flowered Cranesbill_223.png,Small-flowered Cranesbill
Scentless Mayweed_21.png,Scentless Mayweed
Scentless Mayweed_35.png,Scentless Mayweed
Small-flowered Cranesbill_237.png,Small-flowered Cranesbill
Common Chickweed_235.png,Common Chickweed
Scentless Mayweed_164.png,Scentless Mayweed
Black-grass_203.png,Black-grass
Black-grass_217.png,Loose Silky-bent
Common Chickweed_221.png,Common Chickweed
Scentless Mayweed_170.png,Scentless Mayweed
Shepherds Purse_132.png,Shepherds Purse
Common Chickweed_209.png,Common Chickweed
Scentless Mayweed_158.png,Scentless Mayweed
Shepherds Purse_37.png,Shepherds Purse
Charlock_243.png,Charlock
Shepherds Purse_23.png,Shepherds Purse
Shepherds Purse_126.png,Shepherds Purse
Common wheat_233.png,Common wheat
Fat Hen_232.png,Fat Hen
Common wheat_227.png,Common wheat
Fat Hen_226.png,Fat Hen
Common wheat_2.png,Common wheat
Cleavers_250.png,Cleavers
